stable_hash,tenant_id,source_repo_full_name,target_repo_full_name,edge_type,evidence_count,metadata_json
"0732bee2dc5941011c293b80f46a52697fdafdf1bebc88fcff1b43060cb806f8","public-hardonian","hardonian/500-ai-agents-projects","microsoft/optiguide","readme_link","1","{}"
"0a9931a4c0f9e0ea56335b01f2e6892aea42e3305e23092da82b10a7c2567c7e","public-hardonian","hardonian/500-ai-agents-projects","nirbar1985/ai-travel-agent","readme_link","1","{}"
"0bc5b6ddca5c4b1ae618ef90db6ebbab7fde991d56928c324f7af66d31f6dadd","public-hardonian","hardonian/500-ai-agents-projects","ashishpatel26/500-ai-agents-projects","readme_link","1","{}"
"20894d50e13c00e5690264bcd47c607f8a7b0f27473d7ff1b554702c06ef81c7","public-hardonian","hardonian/500-ai-agents-projects","firica/legalai","readme_link","1","{}"
"2984197f3d036efa0042917a2cd5ab516c9c82697cf03018fb434ed2fd6f5191","public-hardonian","hardonian/500-ai-agents-projects","langchain-ai/langgraph","readme_link","20","{}"
"366520ebe683ceec4e26df638506c33e34bfe5b27fc15e7efb273fc36aafdd75","public-hardonian","hardonian/500-ai-agents-projects","ahmadvh/ai-agents-for-medical-diagnostics","readme_link","1","{}"
"36dc9db4fabbfc6add134d036bd9a0040baabfaff893623f4f45df54f8b752bd","public-hardonian","hardonian/500-ai-agents-projects","mahmoudrabea13/medisuite-ai-agent","readme_link","1","{}"
"4303ba3c33d1c4e56e9e7838dcd6ba815723c3670f542c29438ed641a3fa3eef","public-hardonian","hardonian/500-ai-agents-projects","sled-group/drivlme","readme_link","1","{}"
"5edd3fa2ecb68ace641953ce3fdf43d19e443329b50d1378465cf4348d37916f","public-hardonian","hardonian/500-ai-agents-projects","yuchenxia/llm4ias","readme_link","1","{}"
"6549ad9a90107376850e737240f589f2207f0e693932648ea5665c35750eb920","public-hardonian","hardonian/500-ai-agents-projects","hqanhh/edugpt","readme_link","1","{}"
"7e07d41dac428b07d8e739f7856eb64308550e65f2848895a1b517043930510d","public-hardonian","hardonian/500-ai-agents-projects","aleksnestu/ai-real-estate-assistant","readme_link","1","{}"
"82bfde62f38d8f3c64a58095ac130924dd191eb8c3759c1a532071428eeca340","public-hardonian","hardonian/500-ai-agents-projects","crosleythomas/mirrorgpt","readme_link","1","{}"
"9dd0c026245dc18ef4408317e9b81adfffa1659d460ec7e182f80ac9412ee59f","public-hardonian","hardonian/500-ai-agents-projects","purpleailab/decepticon","readme_link","1","{}"
"b8293c0960c941d8031220a6d306d5e786c38256eeb6d2ba4c7d2b71de0c785b","public-hardonian","hardonian/500-ai-agents-projects","nirdiamant/genai_agents","readme_link","1","{}"
"bbd8838da0de4f53481a0f18632826a84b18f3d57f1d3795bcfa01ac05d15fd8","public-hardonian","hardonian/500-ai-agents-projects","nvisosecurity/cyber-security-llm-agents","readme_link","1","{}"
"c47c6d5da411f92ad6f6ffc119bc65405025eb0715ca72e073eaff698b477013","public-hardonian","hardonian/500-ai-agents-projects","harshhh28/hia","readme_link","1","{}"
"c4d99dab2791a0748c1037e6e6bfc895bdf173e1db72fe1ad8bdfd436ca91da8","public-hardonian","hardonian/500-ai-agents-projects","onjas-buidl/llm-agent-game","readme_link","1","{}"
"c6db463245832bef3097381e9e2314d1133d6040ee0bef44066b908ac1ab81f7","public-hardonian","hardonian/500-ai-agents-projects","sentient-engineering/jobber","readme_link","1","{}"
"d989d5cf7a3503bba166aeb8464d4f4f0094007c1241c6f2b25de2a5a0aab24f","public-hardonian","hardonian/500-ai-agents-projects","microsoft/autogen","readme_link","32","{}"
"df5531ea4603dc6d8496178abbd9c5ca536c3c1d9745969542432731f24299d8","public-hardonian","hardonian/500-ai-agents-projects","yecchen/mirai","readme_link","1","{}"
"e6a77a7f2a67a526500f8bcb61e0676115f65002632d1fd01b81a9455fcf1a9b","public-hardonian","hardonian/500-ai-agents-projects","crewaiinc/crewai-examples","readme_link","21","{}"
"f07989c3e0797c4cc80eae9faa9229cb679fc98033b54a019bf96c733b795483","public-hardonian","hardonian/500-ai-agents-projects","agno-agi/agno","readme_link","18","{}"
"f422e4234d0b5283cf332ef449f892e9828334957973a3eae46d11ae8df0ada7","public-hardonian","hardonian/500-ai-agents-projects","microsoft/recai","readme_link","1","{}"
"f98620fcbbc2758242bacb9e7231ded12b0d8a0b510501393bc7fdb1639a23ce","public-hardonian","hardonian/500-ai-agents-projects","mingyuj666/stockagent","readme_link","1","{}"
"fd971876e0463af058880ab34d166bf97c266b41915facc89d9a2996567a37ca","public-hardonian","hardonian/500-ai-agents-projects","hoanganhvu123/shoppinggpt","readme_link","1","{}"
"fe6e27b8087ce02922453a3bec474c0eeb89329791a24452fa32798c1b18547f","public-hardonian","hardonian/500-ai-agents-projects","mohammed97ashraf/llm_agri_bot","readme_link","1","{}"
